period,period_dot,class
0.648116647,5.1E-16,RADIO PULSAR
2.559356631,7.2E-16,RADIO PULSAR
0.658557614,1.1379E-15,RADIO PULSAR
0.371924139,7.68E-16,RADIO PULSAR
0.74965895,1.7774E-14,RADIO PULSAR
0.005041454,8.9E-21,RADIO PULSAR
0.230708492,5.2E-17,RADIO PULSAR
0.655220596,6.629E-15,RADIO PULSAR
0.340502709,2.65E-15,RADIO PULSAR
0.92847,,RADIO PULSAR
0.635058175,1.81068E-15,RADIO PULSAR
1.013608747,4.75E-15,RADIO PULSAR
0.457501818,1.9231E-14,RADIO PULSAR
0.125229558,2.29442E-15,RADIO PULSAR
0.182494802,5.17043E-15,RADIO PULSAR
1.025830893,2.891E-14,RADIO PULSAR
2.407622311,1.7891E-14,RADIO PULSAR
0.009679814,1.7E-20,RADIO PULSAR
0.44962,,RADIO PULSAR
0.6318,,RADIO PULSAR
0.675646047,6.953E-16,RADIO PULSAR
1.279402354,1.296E-14,RADIO PULSAR
0.840738545,6.37E-15,RADIO PULSAR
0.253557725,1.83496E-15,RADIO PULSAR
0.644304508,2.81191E-15,RADIO PULSAR
1.528124106,4.172E-15,RADIO PULSAR
0.408154708,7.54E-17,RADIO PULSAR
0.255677098,9.595E-16,RADIO PULSAR
0.00205696,1.6159E-20,RADIO PULSAR
1.534008142,7.44E-15,RADIO PULSAR
0.342722792,2.54E-15,RADIO PULSAR
0.483310511,3.784E-15,RADIO PULSAR
1.783864988,5.9E-16,RADIO PULSAR
0.346301153,2.4863E-14,RADIO PULSAR
0.530075207,2.099E-15,RADIO PULSAR
1.748307505,5.2972E-15,RADIO PULSAR
0.732061265,3.38E-16,RADIO PULSAR
0.295699706,7.57513E-16,RADIO PULSAR
0.043589227,1.43E-19,RADIO PULSAR
1.219593883,1.908E-14,RADIO PULSAR
0.439684,,RADIO PULSAR
0.507356003,1.5745E-15,RADIO PULSAR
0.864286208,6.94149E-14,RADIO PULSAR
0.275207111,9.998E-16,RADIO PULSAR
0.267322318,8.69E-17,RADIO PULSAR
2.714555561,7.077E-15,RADIO PULSAR
0.1926049,5.06191E-15,RADIO PULSAR
1.084019944,1.303E-14,RADIO PULSAR
0.599248003,4.0248E-15,RADIO PULSAR
0.294759771,1.556E-16,RADIO PULSAR
0.794882546,1.2E-16,RADIO PULSAR
2.034989479,5.924E-15,RADIO PULSAR
6.355,,RADIO PULSAR
0.860777,,RADIO PULSAR
1.368282923,3.4E-17,RADIO PULSAR
3.453004027,2.759E-14,RADIO PULSAR
0.208955693,1.7238E-16,RADIO PULSAR
1.380182295,5.413E-15,RADIO PULSAR
0.491384122,4.6592E-14,RADIO PULSAR
0.352145404,3.78808E-15,RADIO PULSAR
0.644255065,1.0132E-14,RADIO PULSAR
0.505,,RADIO PULSAR
0.481118852,1.3625E-14,RADIO PULSAR
0.41687377,3.856E-15,RADIO PULSAR
0.804304237,1.1E-16,RADIO PULSAR
0.558257506,1.461E-15,RADIO PULSAR
0.819990037,1.594E-14,RADIO PULSAR
0.66599359,,RADIO PULSAR
0.623678,,RADIO PULSAR
0.684936492,,RADIO PULSAR
0.739098946,3.34E-16,RADIO PULSAR
0.666437923,5.4E-16,RADIO PULSAR
0.950288537,9.7569E-14,RADIO PULSAR
0.725732155,4.209E-14,RADIO PULSAR
2.565,,RADIO PULSAR
0.671964199,8.79E-15,RADIO PULSAR
1.072967894,1.708E-14,RADIO PULSAR
0.578363439,1.078E-15,RADIO PULSAR
