            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2352045.500000000, A.D. 1727-Aug-01 00:00:00.0000,  6.772964182513981E-01, -7.552697970618054E-01, -4.323246287404964E-04,
2352076.500000000, A.D. 1727-Sep-01 00:00:00.0000,  9.574398232815984E-01, -3.160296469768558E-01, -1.487639629631900E-04,
2352106.500000000, A.D. 1727-Oct-01 00:00:00.0000,  9.814601673007797E-01,  1.916246985725213E-01,  1.649024738709231E-04,
2352137.500000000, A.D. 1727-Nov-01 00:00:00.0000,  7.383135276909170E-01,  6.616590467618230E-01,  4.421170325228607E-04,
2352167.500000000, A.D. 1727-Dec-01 00:00:00.0000,  3.021202129489016E-01,  9.378763900926187E-01,  5.910624554197891E-04,
2352198.500000000, A.D. 1728-Jan-01 00:00:00.0000, -2.329033284518610E-01,  9.551915993295280E-01,  5.769378253016450E-04,
2352229.500000000, A.D. 1728-Feb-01 00:00:00.0000, -7.000713542177687E-01,  6.940965082562464E-01,  3.950650027502057E-04,
2352258.500000000, A.D. 1728-Mar-01 00:00:00.0000, -9.558199159631517E-01,  2.653834146115218E-01,  1.186163416435026E-04,
2352289.500000000, A.D. 1728-Apr-01 00:00:00.0000, -9.653433497189430E-01, -2.634364707947329E-01, -2.079431474018070E-04,
2352319.500000000, A.D. 1728-May-01 00:00:00.0000, -7.189872443030706E-01, -7.076434284070287E-01, -4.708260438866551E-04,
2352350.500000000, A.D. 1728-Jun-01 00:00:00.0000, -2.734446538458195E-01, -9.772893718341189E-01, -6.171326169927044E-04,
2352380.500000000, A.D. 1728-Jul-01 00:00:00.0000,  2.287290797064443E-01, -9.907626304105401E-01, -6.017041873435004E-04,
2352411.500000000, A.D. 1728-Aug-01 00:00:00.0000,  6.865928346734417E-01, -7.467807395462498E-01, -4.289095731386196E-04,
2352442.500000000, A.D. 1728-Sep-01 00:00:00.0000,  9.612289418365320E-01, -3.039537954434509E-01, -1.408410228254540E-04,
2352472.500000000, A.D. 1728-Oct-01 00:00:00.0000,  9.787993980887635E-01,  2.040856199587976E-01,  1.749137106752885E-04,
2352503.500000000, A.D. 1728-Nov-01 00:00:00.0000,  7.295771582126940E-01,  6.710913129505771E-01,  4.523061672856509E-04,
2352533.500000000, A.D. 1728-Dec-01 00:00:00.0000,  2.897531545301121E-01,  9.417046123745831E-01,  5.974530144905103E-04,
2352564.500000000, A.D. 1729-Jan-01 00:00:00.0000, -2.455319944310627E-01,  9.520616798829893E-01,  5.757571494558065E-04,
2352595.500000000, A.D. 1729-Feb-01 00:00:00.0000, -7.092723403035728E-01,  6.848972239659452E-01,  3.856014407696955E-04,
2352623.500000000, A.D. 1729-Mar-01 00:00:00.0000, -9.546112498156794E-01,  2.696268139418852E-01,  1.170484797539290E-04,
2352654.500000000, A.D. 1729-Apr-01 00:00:00.0000, -9.664635453849620E-01, -2.592086290598334E-01, -2.108623028475898E-04,
2352684.500000000, A.D. 1729-May-01 00:00:00.0000, -7.220345058121047E-01, -7.045242805357977E-01, -4.729669390782565E-04,
2352715.500000000, A.D. 1729-Jun-01 00:00:00.0000, -2.776382317276256E-01, -9.761092001179186E-01, -6.163431793444352E-04,
2352745.500000000, A.D. 1729-Jul-01 00:00:00.0000,  2.244813537479182E-01, -9.917494631932674E-01, -5.989564676957854E-04,
2352776.500000000, A.D. 1729-Aug-01 00:00:00.0000,  6.833851183400409E-01, -7.497301182805979E-01, -4.253396974614842E-04,
2352807.500000000, A.D. 1729-Sep-01 00:00:00.0000,  9.599100368410372E-01, -3.081023047549784E-01, -1.399840276811564E-04,
2352837.500000000, A.D. 1729-Oct-01 00:00:00.0000,  9.796850167876855E-01,  1.998268140776509E-01,  1.722199376824015E-04,
2352868.500000000, A.D. 1729-Nov-01 00:00:00.0000,  7.325272045729871E-01,  6.678675620354706E-01,  4.457151962488742E-04,
2352898.500000000, A.D. 1729-Dec-01 00:00:00.0000,  2.939445076380832E-01,  9.403894102880856E-01,  5.906381900985094E-04,
2352929.500000000, A.D. 1730-Jan-01 00:00:00.0000, -2.412310055081547E-01,  9.531119229437528E-01,  5.720740153012553E-04,
2352960.500000000, A.D. 1730-Feb-01 00:00:00.0000, -7.061184377744725E-01,  6.880325819826622E-01,  3.877124854379868E-04,
2352988.500000000, A.D. 1730-Mar-01 00:00:00.0000, -9.533048616787883E-01,  2.738493412785706E-01,  1.211437178919802E-04,
2353019.500000000, A.D. 1730-Apr-01 00:00:00.0000, -9.674943904736578E-01, -2.549080283134302E-01, -2.026130897513584E-04,
2353049.500000000, A.D. 1730-May-01 00:00:00.0000, -7.250389922967030E-01, -7.012858063360966E-01, -4.643048557501509E-04,
2353080.500000000, A.D. 1730-Jun-01 00:00:00.0000, -2.818709258079274E-01, -9.748108532658306E-01, -6.112882312527865E-04,
2353110.500000000, A.D. 1730-Jul-01 00:00:00.0000,  2.201493581591671E-01, -9.926650458257270E-01, -5.991889419503677E-04,
2353141.500000000, A.D. 1730-Aug-01 00:00:00.0000,  6.800862718359871E-01, -7.527088875044690E-01, -4.315075108723577E-04,
2353172.500000000, A.D. 1730-Sep-01 00:00:00.0000,  9.585655293611327E-01, -3.123601407616060E-01, -1.481532450912044E-04,
2353202.500000000, A.D. 1730-Oct-01 00:00:00.0000,  9.806215769433563E-01,  1.954406408465588E-01,  1.656239027127616E-04,
2353233.500000000, A.D. 1730-Nov-01 00:00:00.0000,  7.356103402604667E-01,  6.645724373653017E-01,  4.440236835112169E-04,
2353263.500000000, A.D. 1730-Dec-01 00:00:00.0000,  2.982941488248281E-01,  9.390787769653647E-01,  5.930915677960537E-04,
